part_id,show,part_number,part_brand,subcategory,part_image,family,belt_type,belt_length,pitch,thickness,top_width,ingress_protection,certifications,nema_rating,temperature_rating
02D87C49-84F7-4876-A07D-32C70B214552,,KR20AC045,CARRIER,,,,,,,,,,,,
02E19781-0F39-4DCB-97B9-F98D8E760DB6,,P464-5VX1320,CARRIER,,,,,,,,,,,,
02EDDFC8-0913-4861-95AE-6987D080BF25,,2102008,COMFORT,,,,,,,,,,,,
0362B154-90E3-44D3-AD62-FB7CC9D80DCF,,71-40438-23,RHEEM,,,,,,,,,,,,
038132BF-7579-424F-8ED7-80A6F06C8409,,B0000338,TRANE,,,,,,,,,,,,
038F930D-B613-4659-820C-FA9B5D2F784C,,P465-4L460,CARRIER,,,,,,,,,,,,
039F3BE1-212D-4659-829D-73BE4362646E,,5601-5509,WEATHERKING,,,,,,,,,,,,
03C92297-235E-4B02-8A81-310ED8D0417F,,50DK480474,CARRIER,,,,,,,,,,,,
03EDF75F-DFD1-46E2-A732-EDB66B8A4553,,P301052A,GOETTL,,,,,,,,,,,,
043B6EE4-A54D-447F-8E8C-65141C6A3EEB,,T4-38,LENNOX,,,,,,,,,,,,
049EB081-6E64-44A8-9CA7-B743F371336F,,4L510,CARRIER,,,,,,,,,,,,
04BBDCEB-D994-421E-B2E6-BC8A65570A89,,B-81,,,,,,,,,,,,,
04DAC809-9773-4F42-B79B-A4B62441DC9F,,802-A51,CARRIER,,,,,,,,,,,,
04FFF928-AE0C-474D-B785-5644A10A3317,,71-17033-51,HEIL,,,,,,,,,,,,
0503D017-A7E7-4094-9B88-387F0C9C9A01,,B463-B50,CARRIER,,,,,,,,,,,,
0521883B-8B0B-441F-9C3D-DD77AFDB09BC,,PR-252,LENNOX,,,,,,,,,,,,
0537B781-DE01-4FEB-B234-CAB205242359,,B0000397,TRANE,,,,,,,,,,,,
053A3EFD-266C-4954-85F4-7CFFD74233A8,,50DK480132,CARRIER,,,,,,,,,,,,
05731530-5E1C-4A9B-A270-582F29B5F8FE,,KR30BE041,CARRIER,,,,,,,,,,,,
05B4DD7F-19F7-4E29-9391-7E5D86C12EA0,,1171533,HEIL,,,,,,,,,,,,
05E9CB27-8B15-4DD5-9083-C9B084242972,,71-40235-49,MCQUAY,,,,,,,,,,,,
05F32BCF-FFA5-4D07-8B76-8943308BB5C3,,2101355,HEIL,,,,,,,,,,,,
067D61A5-D62D-4EB1-9C5F-DE5FD6B71889,,71-40438-23,WEATHERKING,,,,,,,,,,,,
073550D7-0F77-441D-9DE9-5180D5A0B4E9,,1LD0406,YORK UPG,,,,,,,,,,,,
076480D0-A3D2-426D-BE8E-AC3DE34E5197,,92289,REZNOR,,,,,,,,,,,,
07DAC326-3A16-4547-B690-D8018BDFA5A2,,1178131,HEIL,,,,,,,,,,,,
07F0908D-BE1E-4762-8C3D-8FBCC44A01B7,,B0000388,TRANE,,,,,,,,,,,,
0803B7B5-8E83-4616-9A67-6FE97C6A9D89,,KR30AE042,CARRIER,,,,,,,,,,,,
0804757E-4F33-4497-ABC3-71D1D78614D1,,KR29BF123,CARRIER,,,,,,,,,,,,
085DA8E3-1414-429E-98A3-C3E55EC021B0,,BLL00146,TRANE,,,,,,,,,,,,
0891E42A-B95A-4E66-9381-EEB708B2E22F,,P-8-1035,LENNOX,,,,,,,,,,,,
0894B476-373D-494F-9A7C-F132BE6F4192,,P-8-129,LENNOX,,,,,,,,,,,,
089A402F-06D0-4125-8E67-F3A77034E762,,3V770,CARRIER,,,,,,,,,,,,
08B8A769-DABB-4838-BBC9-22043A377F81,,KR29BF105,CARRIER,,,,,,,,,,,,
08C21773-E7F3-4461-8BA5-E8896E7D5518,,73K92,LENNOX,,,,,,,,,,,,
08EDD7DD-A57C-46EA-962D-8760C7C51B38,,P-8-128,LENNOX,,,,,,,,,,,,
08FC5723-2ED9-4819-8902-C660E6A7D910,,3528049,CARRIER,,,,,,,,,,,,
09067F11-8BDB-48F0-B5B3-B8286DB702A2,,KR28BF047,CARRIER,,,,,,,,,,,,
091887C5-9D41-413E-AC05-623404137AAB,,KR20AA056,CARRIER,,,,,,,,,,,,
091B80AB-A46E-49FD-A34E-7A754773DBA7,,P463-B40,CARRIER,,,,,,,,,,,,
0950BAD5-B300-419D-B023-28A0B3B8DE07,,16134,REZNOR,,,,,,,,,,,,
095810ED-5CC7-47C7-8D36-E946423F33BC,,WG42X1,TRANE,,,,,,,,,,,,
099EACBF-51FF-44FF-A25B-A2065E10EF12,,B-48,CARRIER,,,,,,,,,,,,
09AACB6A-3EA2-4B9B-9C01-27C7253DD0EB,,B-97,,,,,,,,,,,,,
09BD06FD-6E4E-4FBF-9E89-D1F63EC15D81,,S1-02638075023,YORK UPG,,,,,,,,,,,,
09F9F433-ED78-4A4C-877E-84C1A5044D08,,BLTA38,HEIL,,,,,,,,,,,,
0A3C7267-CE5B-4E23-964E-C12FBDE28C68,,B0000049,TRANE,,,,,,,,,,,,
0A5F0D55-5B71-4D25-B5EB-9BE780C238F5,,R1000014,AMANA,V-BELT,,,,,,,,,,,
0A62FB30-DBDF-40A4-A525-8DDA95E87877,,P-8-121,LENNOX,,,,,,,,,,,,
0A7B9FE9-A273-4FD7-8783-CAE7FFB8CA74,,P463-B55,CARRIER,,,,,,,,,,,,
0A95AA8E-E3FE-462D-9187-F2D235F1FC84,,92308,REZNOR,,,,,,,,,,,,
0A99806B-7E37-4585-B869-87579B1E6322,,S1-02810424000,YORK UPG,,,,,,,,,,,,
0AB01008-75BF-42BA-AFDC-00557357C215,,PR-253,LENNOX,,,,,,,,,,,,
0AE79FF3-0CF2-429C-A4E4-F3DF9A311843,,S1-02809269000,YORK UPG,,,,,,,,,,,,
0AEF550B-B283-4449-9E0C-D4B92D071242,,P-8-4389,ALLIED,,,,,,,,,,,,
0B4DFD52-2198-4C9F-A46D-E2504E1B9861,,42801000,BROAN-NUTONE,,,,,,,,,,,,
0B567457-35C7-47F3-AFFF-D80E20CAEB0C,,S1-02629072000,YORK UPG,,,,,,,,,,,,
0B921BD0-D300-4704-96A1-6D1F6EA3CA99,,B0000008,TRANE,,,,,,,,,,,,
0BD73317-D8D8-4778-BDC0-6FB048A0BD5E,,BLTA36,HEIL,,,,,,,,,,,,
0BD7C023-A8D9-4995-95A5-0004584FDABB,,P463-BX48,CARRIER,,,,,,,,,,,,
0BDF8255-7661-4BA9-87EC-09D9FF3E3803,,R0115312,AMANA,V-BELT,,,,,,,,,,,
0BE5BFB1-F07F-46FF-94AE-A6FE07B26E57,,0164L00000,GOODMAN,V-BELT,,,,,,,,,,,
0C23616B-75FC-4B80-ABAF-31F3278477FE,,B-201,,,,,,,,,,,,,
0C2EA462-9550-466D-BF34-5504467452DB,,KR29BF088,CARRIER,,,,,,,,,,,,
0C36DAE7-D6F9-42DF-B1D5-DB05075BFE63,,B0000068,TRANE,,,,,,,,,,,,
0C4F0009-8709-4A4D-B4A2-63811A064B3A,,S1-02805306000,YORK UPG,,,,,,,,,,,,
0C963E97-86D2-4781-B000-BAC8EE51A963,,P-8-10082,ALLIED,,,,,,,,,,,,
0CC21996-A0CC-4C77-9D54-684C2A1BBA89,,P463-B41,CARRIER,,,,,,,,,,,,
0D16DFAC-EB04-4484-B067-7EC276817577,,1061126,HEIL,,,,,,,,,,,,
0D500CF1-3725-4873-A49C-3718BC9893B4,,B005,HEIL,,,,,,,,,,,,
0D7C039E-A98E-4A66-BB8E-EA4F08D24819,,71-40438-28,RHEEM,,,,,,,,,,,,
0D8F3E30-4885-44E4-8C67-DC550D9BB8D8,,P462-4L370,CARRIER,,,,,,,,,,,,
0D9BA930-25CB-47FA-A02E-0BE69DA27D2C,,1063374,HEIL,,,,,,,,,,,,
0DAA34A7-D710-4AFB-A08E-C204A69101DB,,50DK480131,CARRIER,,,,,,,,,,,,
0DAC30D9-96E8-4704-8F43-B42BB657DDCC,,P462-4L570,CARRIER,,,,,,,,,,,,
0DD97FA3-6E7E-423C-A0B2-82A44ABC3A59,,S1-02806097900,YORK UPG,,,,,,,,,,,,
0DDE8F42-AD9C-4658-9D03-C85AFBCB7F7F,,P463-A56,CARRIER,,,,,,,,,,,,
0E35D9D2-67D4-458D-AC04-FF08F25D6679,,8733908369,BOSCH,,,,,,,,,,,,
0E71DE62-3ABF-49DC-AB25-2C14C54A3819,,R0115601,AMANA,V-BELT,,,,,,,,,,,
0E9C0A39-C486-4E5D-AC9F-2EB7A53823CD,,P464-3V450,CARRIER,,,,,,,,,,,,
0EABEC34-0EC5-4005-A505-7E6AE1F1CA36,,5H59828A53,MODINE,,,,,,,,,,,,
0ED240F9-2C78-4729-BD27-68BD1DFDD7CC,,R0115311,AMANA,V-BELT,,,,,,,,,,,
0EFAE8F7-680A-467E-943D-34076C2ABF26,,5V900,CARRIER,,,,,,,,,,,,
0F03A272-767D-42A3-B210-0A593D75B0AD,,B0000371,TRANE,,,,,,,,,,,,
0F11854C-977D-49DD-A451-C556C07EDEEE,,R0115306,AMANA,V-BELT,,,,,,,,,,,
0F1F1A4E-EF25-43FC-8FCC-7CAA7FEED506,,B0204600,DUCANE,,,,,,,,,,,,
0F5F4634-845B-4F06-B595-FF666C37D64C,,B0000107,TRANE,,,,,,,,,,,,
0F921B7D-3D9C-46A6-85EA-23F929EA4213,,P-8-2331,LENNOX,,,,,,,,,,,,
0F9BB278-0885-4C4D-9D11-0469B3B2E536,,4L360,CARRIER,,,,,,,,,,,,
100C32EF-30AC-4D62-9EDC-BC663FFCD6D7,,71-41764-06,RHEEM,,,,,,,,,,,,
1021475A-AAAE-4A2B-88F2-20096525644B,,B-212,,,,,,,,,,,,,
1037B6EC-7DC6-4F6D-B775-527E140A2691,,KR29BF038,CARRIER,,,,,,,,,,,,
10654EA1-AAEB-4E7B-ACC5-48497BE663AB,,KR30BE063,CARRIER,,,,,,,,,,,,
10668C51-E750-434D-94D5-A861B691BBD6,,92236,REZNOR,,,,,,,,,,,,
10671220-199D-4B04-B6A1-8014F25426C2,,KR30AE044,CARRIER,,,,,,,,,,,,
107563AB-1D03-4C6A-B1AF-0FD7D5E48A3D,,B-173,,,,,,,,,,,,,
10B337AB-751C-4A6E-A6E6-2A4177E2ACBC,,P463-A52,CARRIER,,,,,,,,,,,,
1108375C-DE3E-4A77-ABA0-4D3386217B64,,WY42X32,TRANE,,,,,,,,,,,,
1111B98A-6809-4037-9E72-B02FE9E88B6B,,44L55,ALLIED,,,,,,,,,,,,
11248610-0950-403D-A095-02DC0B0D7A79,,50DK480049,BRYANT,,,,,,,,,,,,
11353327-EF6D-4196-915E-E90EBDE92922,,P463-B50,BRYANT,,,,,,,,,,,,
113ABBFC-03A2-438B-8A7B-154467FF6549,,1178449,HEIL,,,,,,,,,,,,
11A4B915-DBCB-41AE-B1D2-758B6E04C94F,,P463-B71,CARRIER,,,,,,,,,,,,
11CF3733-250A-42BC-A3CB-ACC11DFC4BD4,,B-80,,,,,,,,,,,,,
11DB2A3F-56F6-49F1-9165-16C2C3AF974F,,92322,REZNOR,,,,,,,,,,,,
11F08318-7285-48B4-BA55-7D4526C41713,,71-40438-18,RHEEM,,,,,,,,,,,,
1254ADB8-AD2B-400F-9CC5-A33B344CFA96,,P461-A42,CARRIER,,,,,,,,,,,,
125C00D9-7184-4CEC-BE52-004F46D75104,,4L520,CARRIER,,,,,,,,,,,,
126F6E1C-06B8-48EB-9ABD-93204F3DC7E0,,1054601,HEIL,,,,,,,,,,,,
127BE6E0-5BAF-41EF-BC66-D4FDED3FA62F,,71-40438-38,MCQUAY,,,,,,,,,,,,
1284D5F5-64B9-46DB-8ED9-1BFA8430B22C,,890-012,CARRIER,,,,,,,,,,,,
12AAC8F9-5FDE-4D81-91BF-A681CF6013D8,,62M680076,CARRIER,,,,,,,,,,,,
12C79F32-1527-4A4F-A5F8-221EA858ACDB,,S1-02810556000,YORK UPG,,,,,,,,,,,,
12EF7AD3-839C-4032-945F-D8AB520C5C29,,00107A035,ARMSTRONG,,,,,,,,,,,,
12FF0AEB-D3E4-4060-B1E9-356FFBA9AB95,,KR29BG059,CARRIER,,,,,,,,,,,,
133A8AFC-CAFA-404D-8EF4-6CA90F13814E,,P463-BX37,CARRIER,,,,,,,,,,,,
136768F2-77E0-4D62-99F0-ED35E87947F5,,P463-B46,CARRIER,,,,,,,,,,,,
137014D2-CE3A-4788-B538-F9626CBCA8B6,,B0000042,TRANE,,,,,,,,,,,,
13CF0F49-2224-47B0-8071-782712BEBCBD,,B0000356,TRANE,,,,,,,,,,,,
14354E0C-4899-47E8-A805-84FE6B7B175C,,P-8-2330,LENNOX,,,,,,,,,,,,
14473A86-67DC-499C-AE62-923F4F7073F6,,1096405,HEIL,,,,,,,,,,,,
145D7A84-D8DB-4B2D-BC9B-7F3D0192D75B,,P-8-1174,LENNOX,,,,,,,,,,,,
14D1E9D2-8064-43E7-9C11-06561FBF423C,,71-41764-06,THERMAL ZONE,,,,,,,,,,,,
14D6D2C1-B25A-4CA1-9CBB-42DD6DAE9206,,WW42X24,TRANE,,,,,,,,,,,,
14E765A7-5150-4D7A-BB22-3B50BC39665E,,5H59828A56,MODINE,,,,,,,,,,,,
14F3A3D9-B486-4143-8ABB-CB2C22DCBB5E,,B-91,,,,,,,,,,,,,
1552E1C9-1B86-4F86-907A-7F46643E52A4,,S1-02805251000,YORK UPG,,,,,,,,,,,,
159A46BC-00B6-41C2-8913-FEB79C899613,,5601-5507,WEATHERKING,,,,,,,,,,,,
15D137FE-F7CE-413C-81A1-11BC488B159B,,20-2040,LUX,V-BELT,,,,,,,,,,,
15ECD4DC-7077-49E8-8CAF-DC74E5A8FE4B,,2101380,COMFORT,,,,,,,,,,,,
15F7A43C-5F6D-422A-850F-7597982C566D,,P-8-4951,LENNOX,,,,,,,,,,,,
16401E32-BDDA-4DA6-994E-9E3C915D096E,,KR29AF045,CARRIER,,,,,,,,,,,,
1661B430-C851-43F0-940B-1E71FC18991A,,KR29QA060,CARRIER,,,,,,,,,,,,
16B0A4D9-3E92-4836-89F2-767778C6B0CB,,A-56,CARRIER,,,,,,,,,,,,
16EC0553-A999-4255-992D-09A04F78A42A,,A-38,CARRIER,,,,,,,,,,,,
16F66C9A-DA7B-40AC-AD02-183F4B692E85,,100245-17,ALLIED,,,,,,,,,,,,
16FBA4B7-09E6-4C76-8371-82EC95DF97D0,,B0000052,TRANE,,,,,,,,,,,,
170D366B-D2D9-42A3-8E8F-ECA23AB5F3C4,,71-40235-40,WEATHERKING,,,,,,,,,,,,
171159B1-7330-4193-9118-8D499604EBC8,,P463-B38,CARRIER,,,,,,,,,,,,
172D63B5-A1AC-4F5D-90FD-A38BA28212F7,,BLL00020,TRANE,,,,,,,,,,,,
17456B98-6009-47F9-AEDF-48E60F99A34D,,50HJ480018,CARRIER,,,,,,,,,,,,
175D7AF2-2673-4498-8A80-5586750F1681,,S1-02806067000,YORK UPG,,,,,,,,,,,,
17962F87-662C-490B-90F0-F78BB2319475,,809-223,INDUSTRIAL COMBUSTION,,,,,,,,,,,,
17E7A948-3BB2-41F3-B9E1-E9FC77A549D0,,B-180,,,,,,,,,,,,,
18045D21-AB71-442C-B5BA-61124895D0A7,,KR20AC049,CARRIER,,,,,,,,,,,,
18107B8F-0211-47F9-8E77-FFE808B213FB,,S1-02805438000,YORK UPG,,,,,,,,,,,,
181E5430-DED2-4E32-8DCC-D8BA1776B9B2,,92224,REZNOR,,,,,,,,,,,,
182C2D23-6886-4727-B3E2-CEEA9AB0F749,,5-3-26,PHOENIX MANUFACTURING INC,,,,,,,,,,,,
183E52ED-2DD3-4947-837D-8A7FD2B4B9CA,,R0115304,AMANA,V-BELT,,,,,,,,,,,
184AEA35-CE97-4E97-8565-D14692391C35,,01081A005,ARMSTRONG,,,,,,,,,,,,
184D2099-A6B1-445B-B740-AE87DB7AECEE,,013-A-185,KOLDWAVE,,,,,,,,,,,,
1868FD4E-DE68-47A8-8539-25554D84D1BB,,S1-02804803900,YORK UPG,,,,,,,,,,,,
187541AB-0658-4CFA-BC3B-549AA22C48E0,,B0000179,TRANE,,,,,,,,,,,,
1884D03D-91F6-4638-B100-D14D2D977195,,71-40438-35,RHEEM,,,,,,,,,,,,
18D48AE4-D595-4E20-8B18-976C631116B9,,28P47,LENNOX,,,,,,,,,,,,
18DC9696-683E-48CC-B4B5-2085016B9687,,KR29BF058,CARRIER,,,,,,,,,,,,
18FC30C5-2BDC-46FA-9FE6-EF2ECB94EBC6,,BLL00008,TRANE,,,,,,,,,,,,
1933DA3A-4AFB-4572-80FD-EFAEF414ECC1,,P463-AX64,CARRIER,,,,,,,,,,,,
195A645F-E092-4B43-99D7-390FEE572372,,KR29QA088,CARRIER,,,,,,,,,,,,
1962F5C8-B734-4A9A-B44A-B2F42FCEF7BB,,71-40438-50,RHEEM,,,,,,,,,,,,
196F5378-D717-4A5C-A826-98ACEEF22A45,,STD328073,HEIL,,,,,,,,,,,,
19736027-636B-4544-AE91-BB6B23FDFF1E,,P462-4L490,CARRIER,,,,,,,,,,,,
19737525-8172-4E66-AF1A-54BB9FDC0EEF,,71-40438-22,RHEEM,,,,,,,,,,,,
198A3771-2178-4B7C-BBE7-E14F1409AEC7,,B0000007,TRANE,,,,,,,,,,,,
198D9EDD-2F6D-47C5-B762-84BCBE995199,,KR29BF048,CARRIER,,,,,,,,,,,,
19A25182-DC69-4B94-B3B0-262683263207,,KR29QA101,CARRIER,,,,,,,,,,,,
19E40338-9789-4EB9-96A0-D82FD4BDCCBE,,62M680090,CARRIER,,,,,,,,,,,,
1A1CA20A-C802-4A26-BEA7-8FB0B0928E5D,,71-40438-24,RHEEM,,,,,,,,,,,,
1A965285-0DDF-4EB1-8967-33F42D379B71,,P-8-123,LENNOX,,,,,,,,,,,,
1A99DCDE-F4F5-444B-9533-48959D78921A,,B0000487,TRANE,,,,,,,,,,,,
1AFAEFA2-D920-4198-9EDD-5C382030C785,,685602-08,CARRIER,,,,,,,,,,,,
1B0EFB48-EEBD-4D1B-82E4-76125E632890,,0131L00239,DAIKIN,,,,,,,,,,,,
1B22F9A6-FAB0-4470-A086-7BD741701376,,KR30AE059,CARRIER,,,,,,,,,,,,
1B2654ED-9366-4D69-B592-4B2471C24C9B,,1178255,HEIL,,,,,,,,,,,,
1B541AFF-53E5-43AE-B4CC-ACDA31088572,,P464-3VX530,CARRIER,,,,,,,,,,,,
1B693BE8-FA6C-4F07-BE5B-5A5638231DA5,,STD304330,HEIL,,,,,,,,,,,,
1B81ADFA-6D79-4CF1-B25D-58742CC5C2E2,,2100090,COMFORT,,,,,,,,,,,,
1B8B463B-16D5-4B45-BF82-2A94435A443B,,5501-5501,RHEEM,,,,,,,,,,,,
1BA6C299-4A7F-47A3-A610-6B6CBC40703D,,801-4L420,CARRIER,,,,,,,,,,,,
1BBF7ABD-7387-4F27-8C2B-04BE4BABEEDE,,2100130,HEIL,,,,,,,,,,,,
1BCC70B6-D19A-4660-BF78-EE1B9EA18471,,9901-0203,CARRIER,,,,,,,,,,,,
1C1F4C3C-D2BF-4407-AB56-CC461E32B006,,3001468,,,,,,,,,,,,,
1C43D6E1-4DBC-4058-9759-47665B116C2A,,2101370,ARCOAIRE,,,,,,,,,,,,
1C766E6D-251B-46E8-8872-7B4EA6A9C4C6,,S1-02807670900,YORK UPG,,,,,,,,,,,,
1C7C0ED6-EB07-4335-81D6-8CA2CA8E5369,,P463-B69,CARRIER,,,,,,,,,,,,
1C9FE21D-3FDF-462C-A154-1329E83C0912,,50HJ480048,BRYANT,,,,,,,,,,,,
1CB0805F-067F-4F09-8706-9B59D925059E,,B0000386,TRANE,,,,,,,,,,,,
1CF855E4-57BE-43B9-8754-FB3761BB6089,,FH1532,MUNTERS,,,,,,,,,,,,
1D0DE377-7473-49F5-B827-D17859284372,,BLL01616,TRANE,,,,,,,,,,,,
1D415A41-06FC-4C4F-A7E1-D19A8B064682,,3V850,CARRIER,,,,,,,,,,,,
1D61E42F-DC66-4D5B-B213-3B4C5217D88A,,50HJ480159,CARRIER,,,,,,,,,,,,
1D9DC4C4-A3C8-438C-9489-082C8A7E6B07,,97J55,ALLIED,,,,,,,,,,,,
1DA00B34-FD91-4D1D-8D43-D3C835CD5441,,10103500,YUKON,,,,,,,,,,,,
1DC9078D-C33A-4CD8-B54D-077CF173F0C4,,P463-5VX630,CARRIER,,,,,,,,,,,,
1DEEEDA5-1E1F-4499-81A8-5A3CB3B165F4,,669370,NORDYNE,,,,,,,,,,,,
1DF67A0D-A2AC-4DF0-92DF-9E4529945A6F,,KR29BF046,BRYANT,,,,,,,,,,,,
1E0F8050-A342-4E11-AB4B-13CBE289B8F0,,50DK480148,CARRIER,,,,,,,,,,,,
1E2E221C-20B2-4795-8A15-D51C082877E1,,1171558,HEIL,,,,,,,,,,,,
1E409715-D92D-4457-AEE5-A19E8648DD1F,,3V730,CARRIER,,,,,,,,,,,,
1E64BC1C-1626-4654-806D-8120F69E7A14,,T4-40,LENNOX,,,,,,,,,,,,
1E903A47-3FE6-4709-AA2E-62AF769E5A98,,71-17033-51,WEATHERKING,,,,,,,,,,,,
1EF2BECD-3B79-4C4E-AA9E-24E62285DBB1,,P-8-120,LENNOX,,,,,,,,,,,,
1F0A6CA4-BA90-4A11-A268-91FDDD6AB909,,P462-4L410,CARRIER,,,,,,,,,,,,
1F17EB9A-49BE-4053-8F0E-EA73C5F08BE5,,62M680070,CARRIER,,,,,,,,,,,,
1F220181-6AAC-48BF-84B3-FBB448E3CD08,,5601-5521,WEATHERKING,,,,,,,,,,,,
1FD6B36F-401E-4CC8-9A40-AE8F3C290294,,P464-5VX800,CARRIER,,,,,,,,,,,,
1LDH2GK9WB55VEG1ZVI4W968BTWRMOZKQ469,,RH711703352,NORDYNE,,,,,,,,,,,,
202195F3-7C57-4EA5-B2CD-75522928AC0F,,P462-4L440,CARRIER,,,,,,,,,,,,
2021B615-5F43-4603-AEB4-3E218113CAFF,,KR29BF103,CARRIER,,,,,,,,,,,,
2025CC23-50D2-4518-AC2D-9E3249F389FE,,15Y51,CARRIER,,,,,,,,,,,,
20594004-FD37-4208-A72D-5C98E2D54223,,100245-16,ALLIED,,,,,,,,,,,,
2060E4CB-2835-41DC-A532-CC4D395998B4,,KR29BF086,CARRIER,,,,,,,,,,,,
20D87449-0CF0-42D4-B07A-1C8D04927111,,A-46,CARRIER,,,,,,,,,,,,
20FCD2CF-DC25-4CFD-ABEC-D18C1B8A66D5,,50476000,BROAN-NUTONE,,,,,,,,,,,,
2111E8FA-2C33-4A64-9CCD-B2950BA8D7D8,,340114,THERMO PRIDE,,,,,,,,,,,,
2117A413-4526-4F18-A66C-8EEE70113846,,BLL00026,TRANE,,,,,,,,,,,,
21287009-5982-4F5E-BA2F-C026A50187EE,,P464-5VX950,CARRIER,,,,,,,,,,,,
215910EC-E934-4011-959F-7F65C88442A4,,KR29BR050,CARRIER,,,,,,,,,,,,
219DF2ED-DABB-44FD-AC8E-18D6C12C197A,,92219,REZNOR,,,,,,,,,,,,
219E2B35-4429-43FB-8273-69940E8971A8,,S1-02809582000,YORK UPG,,,,,,,,,,,,
21AN72XS5S1UVPSI75UZ1JC5YCJ6JMTSYH0F,,DUB0204520,NORDYNE,,,,,,,,,,,,
21C63332-E478-44AF-818F-6C1AE14F944C,,B-84,,,,,,,,,,,,,
221AFFB1-ADD6-4D15-835C-4C020771D262,,S1-02808944000,YORK UPG,,,,,,,,,,,,
224448E2-2243-4194-B800-4EFA4B4FB612,,KR30BE048,CARRIER,,,,,,,,,,,,
227579AD-08A8-4E94-9864-AA6E8C52BFF4,,S1-02638075012,YORK UPG,,,,,,,,,,,,
227F659A-4A2F-41EC-B05B-A0749BC9CD70,,P462-4L380,CARRIER,,,,,,,,,,,,
22DA8594-35B3-4257-99A7-40E1D8F8264A,,S1-02805304000,YORK UPG,,,,,,,,,,,,
230A3590-CA3F-48D1-A0EE-C546E13FC8A2,,P-8-2333,ALLIED,,,,,,,,,,,,
2311FB4B-355E-4F63-9E25-6022E237012F,,S1-02807873000,YORK UPG,,,,,,,,,,,,
2330CA1F-E81B-4FE7-8648-452268FC37CF,,5601-004,BARD,,,,,,,,,,,,
233C3D5F-E5B6-46B5-99F8-36451C6FC062,,051152,CARRIER,,,,,,,,,,,,
2358003E-3950-406E-AA11-3BCAB25918F6,,105493,REZNOR,,,,,,,,,,,,
239C9C8E-9A18-4E15-958F-A6933BBC8E96,,5604A000,NUTONE,,,,,,,,,,,,
23DCD362-463A-4381-958A-96E6F1862FF8,,KR29QA115,CARRIER,,,,,,,,,,,,
23EA6088-CFEB-4D77-B7FF-62103628A458,,15Y04,CARRIER,,,,,,,,,,,,
241FBAFA-1386-40F3-9A83-288528F40DFC,,22C60,LENNOX,,,,,,,,,,,,
242F7F74-5DE8-4B7C-847C-B6EC8A425A45,,B0000502,TRANE,,,,,,,,,,,,
244B7838-D446-4807-84C1-56A16356494A,,P463-B51,CARRIER,,,,,,,,,,,,
24563E7D-2947-499B-BA57-E7FD944DED10,,71-40235-46,MCQUAY,,,,,,,,,,,,
246525BD-5354-4B7F-8125-0EB89F8956CF,,B-200,,,,,,,,,,,,,
2486ED73-E7E1-4C24-83B6-2467011B6D82,,B2110001,GOODMAN,V-BELT,,,,,,,,,,,
24D58297-A6D5-4A94-B574-C743DCCBA900,,71-40438-30,MCQUAY,,,,,,,,,,,,
